topicID,topic_terms,terms_relevance
1,tener,575.6956338882446
1,cuidado,574.616976082325
1,zona,574.5479464530945
1,transitar,574.4226649403572
1,recomendar,573.9262327551842
1,transitar_zona,573.7781897187233
1,cuidado_transitar,573.7261474132538
1,recomendar_tener,573.7205222249031
1,tener_cuidado,573.7204477190971
1,tener_cuidado_transitar,573.7098678946495
1,recomendar_tener_cuidado,573.7097933888435
1,cuidado_transitar_zona,573.7097188830376
1,reportado,566.6223913431168
1,reportado_recomendar_tener,565.7078698277473
1,reportado_recomendar,565.7077953219414
1,obregon,484.4389855861664
1,alvaro,450.7649689912796
1,alvaro_obregon,444.2771151661873
1,reportar_recomendar,7.91801605373621
1,reportar_recomendar_tener,7.918014889582992
1,reportar,7.301584118977189
1,obregon_reportado,2.455931971780956
1,obregon_reportado_recomendar,2.406823477940634
1,cuauhtemoc_reportado_recomendar,1.629149483051151
1,cuauhtemoc_reportado,1.6290701751131564
1,rio,0.13509853488358203
1,san,0.1330100349150598
1,madero_reportado,0.1329027691099327
1,madero_reportado_recomendar,0.13290244169184007
1,pedregal,0.10004291652876418
2,av,441.2374645471573
2,carril,317.91120767593384
2,eje,274.2190472781658
2,alcaldía,247.11312726140022
2,sur,224.0605279803276
2,altura,223.62105548381805
2,lento,174.24162477254868
2,norte,168.05849969387054
2,tlalpan,168.0581457912922
2,call,153.53430993855
2,central,145.55963687598705
2,cerrar,136.42817735671997
2,carranza,136.08941808342934
2,circuito,132.04707764089108
2,venustiano,129.54545207321644
2,venustiano_carranza,128.55694629251957
2,interior,128.02718207240105
2,dirección,121.3737390935421
2,cuauhtemoc,119.05019171535969
2,insurgente,109.37544517219067
2,circuito_interior,106.1564777046442
2,periférico,105.47313839197159
2,obra,101.46794840693474
2,oriente,98.92766363918781
2,afectado,93.69815699756145
2,col,92.0671783387661
2,lateral,90.72870016098022
2,río,89.25341069698334
2,hacia,88.2276613265276
2,viaducto,82.59902708232403
3,hidalgo,1299.3480265140533
3,miguel,1269.586682319641
3,miguel_hidalgo,927.3563325405121
3,sección,439.6175593137741
3,chapultepec,283.16179290413857
3,atender,239.5666390657425
3,sección_miguel_hidalgo,197.29845225811005
3,sección_miguel,197.29845225811005
3,tlalpan,179.45488914847374
3,donado,169.46598887443542
3,donado_aportación,168.93165186047554
3,aportación,168.91902312636375
3,loma,155.91670759022236
3,chapultepec_sección,154.5260939747095
3,sección_hidalgo,152.45064161717892
3,reforma,145.11916786432266
3,hidalgo_reportado,142.56522059440613
3,hidalgo_reportado_recomendar,142.5651554018259
3,hidalgo_donado,137.79045082628727
3,hidalgo_donado_aportación,137.79045082628727
3,bosque,127.03146785497665
3,san_miguel,125.75503438711166
3,mexico,114.27461169660091
3,lago,100.70535354316235
3,alemán,96.17540054023266
3,san,93.59568357467651
3,cuajimalpa,90.36135859787464
3,av,89.87138979136944
3,periférico,88.1609134376049
3,chapultepec_sección_miguel,86.18189953267574
4,atender,691.3218647241592
4,evitar,440.92457741498947
4,vehículo,433.7679222226143
4,vialidad,422.70638048648834
4,dirección,419.5699468255043
4,evitar_vialidad,403.15207093954086
4,atender_evitar,403.15013378858566
4,vehículo_atender_evitar,403.0498117208481
4,vehículo_atender,403.04969996213913
4,atender_evitar_vialidad,403.04891765117645
4,herido,317.32935458421707
4,laborar,293.6604619026184
4,paciente,269.50204744935036
4,laborar_atender,269.06756684184074
4,atender_paciente_herido,268.96754279732704
4,atender_paciente,268.96754279732704
4,laborar_atender_paciente,268.96750554442406
4,paciente_herido,268.9673565328121
4,san,95.75092233717442
4,dirección_vehículo,86.59260347485542
4,dirección_vehículo_atender,86.59255690872669
4,reporte,80.35058155655861
4,recibir,77.51438301056623
4,informado,76.87699515372515
4,verificar,75.20437240600586
4,mantener,74.74054582417011
4,recibir_reporte,74.56077262759209
4,ciudadanía,74.36190266162157
4,situación,74.0503054112196
4,verificar_situación,72.15871941298246
5,cuidado,621.1129203438759
5,ten,604.662336409092
5,ten_cuidado,602.3738160729408
5,velocidad,400.3886505961418
5,disminuir,382.6235979795456
5,disminuir_velocidad,376.7867386341095
5,atendido,371.7377781867981
5,transitar,361.84780299663544
5,cuidado_disminuir,360.9689697623253
5,atendido_ten_cuidado,360.9687089920044
5,atendido_ten,360.9684482216835
5,cuidado_disminuir_velocidad,360.96829921007156
5,ten_cuidado_disminuir,360.9682619571686
5,encontrarás,353.33748906850815
5,encontrarás_atendido,351.31119191646576
5,encontrarás_atendido_ten,350.78391432762146
