geoID,geoName,coordinateID
17,Venustiano Carranza,c698
5,Gustavo A. Madero,c699
6,Iztacalco,c700
10,Álvaro Obregón,c701
15,Cuauhtémoc,c702
5,Gustavo A. Madero,c703
3,Coyoacán,c704
7,Iztapalapa,c705
7,Iztapalapa,c706
7,Iztapalapa,c707
15,Cuauhtémoc,c708
2,Azcapotzalco,c709
7,Iztapalapa,c710
15,Cuauhtémoc,c711
14,Benito Juárez,c712
2,Azcapotzalco,c713
7,Iztapalapa,c714
7,Iztapalapa,c715
11,Tláhuac,c716
16,Miguel Hidalgo,c717
7,Iztapalapa,c718
15,Cuauhtémoc,c719
6,Iztacalco,c720
7,Iztapalapa,c721
17,Venustiano Carranza,c722
7,Iztapalapa,c723
10,Álvaro Obregón,c724
5,Gustavo A. Madero,c725
15,Cuauhtémoc,c726
7,Iztapalapa,c727
12,Tlalpan,c728
10,Álvaro Obregón,c729
12,Tlalpan,c730
13,Xochimilco,c731
17,Venustiano Carranza,c732
5,Gustavo A. Madero,c733
15,Cuauhtémoc,c734
15,Cuauhtémoc,c735
7,Iztapalapa,c736
13,Xochimilco,c737
14,Benito Juárez,c738
16,Miguel Hidalgo,c739
7,Iztapalapa,c740
10,Álvaro Obregón,c741
16,Miguel Hidalgo,c742
3,Coyoacán,c743
16,Miguel Hidalgo,c744
7,Iztapalapa,c745
7,Iztapalapa,c746
7,Iztapalapa,c747
12,Tlalpan,c748
17,Venustiano Carranza,c749
17,Venustiano Carranza,c750
7,Iztapalapa,c751
7,Iztapalapa,c752
7,Iztapalapa,c753
16,Miguel Hidalgo,c754
2,Azcapotzalco,c755
5,Gustavo A. Madero,c756
4,Cuajimalpa de Morelos,c757
5,Gustavo A. Madero,c758
7,Iztapalapa,c759
3,Coyoacán,c760
7,Iztapalapa,c761
7,Iztapalapa,c762
7,Iztapalapa,c763
12,Tlalpan,c764
10,Álvaro Obregón,c765
2,Azcapotzalco,c766
12,Tlalpan,c767
15,Cuauhtémoc,c768
11,Tláhuac,c769
16,Miguel Hidalgo,c770
15,Cuauhtémoc,c771
2,Azcapotzalco,c772
12,Tlalpan,c773
10,Álvaro Obregón,c774
15,Cuauhtémoc,c775
16,Miguel Hidalgo,c776
4,Cuajimalpa de Morelos,c777
4,Cuajimalpa de Morelos,c778
13,Xochimilco,c779
13,Xochimilco,c780
2,Azcapotzalco,c781
12,Tlalpan,c782
12,Tlalpan,c783
17,Venustiano Carranza,c784
15,Cuauhtémoc,c785
10,Álvaro Obregón,c786
11,Tláhuac,c787
16,Miguel Hidalgo,c788
2,Azcapotzalco,c789
7,Iztapalapa,c790
16,Miguel Hidalgo,c791
15,Cuauhtémoc,c792
15,Cuauhtémoc,c793
15,Cuauhtémoc,c794
14,Benito Juárez,c795
12,Tlalpan,c796
15,Cuauhtémoc,c797
