pubID,topicQuery,likeCount,replyCount,retweetCount,authorID,dateID,coordinateID
1102984139970674696,incendio,0,1,1,197812020,d107,c107
1103123137485570050,tránsito,4,1,0,155387513,d108,c108
1103433297252831232,tránsito,0,0,0,903097695899934725,d109,c109
1103439299423416322,tránsito,0,1,0,907034630095867905,d110,c110
1103472468126257152,tránsito,0,1,0,903097695899934725,d111,c111
1103477839511326720,tránsito,0,1,0,907034630095867905,d112,c112
1104036202242625536,tránsito,0,0,0,715614606656339968,d113,c113
1104492675015811073,tránsito,0,1,0,1535337228,d114,c114
1104626088372629505,incendio,1,1,1,33448436,d115,c115
1105110393997815808,tránsito,3,1,3,864614439995285506,d116,c116
1105206359904215042,tránsito,0,1,1,903097695899934725,d117,c117
1105213662371885057,incendio,1,1,1,708911604964831233,d118,c118
1105261884905832448,tránsito,0,0,0,907034630095867905,d119,c119
1105773217329745920,incendio,6,0,2,195951901,d120,c120
1106213078843224065,tránsito,0,0,0,903097695899934725,d121,c121
1106257966112694272,tránsito,0,0,0,903097695899934725,d122,c122
1106271380952084481,tránsito,0,0,0,1022534991031488513,d123,c123
1106394363716866049,tránsito,0,0,0,903097695899934725,d124,c124
1106664729894928390,tránsito,0,0,0,189181028,d125,c125
1106686018051297280,tránsito,0,1,0,903097695899934725,d126,c126
1106853150152101888,tránsito,0,0,0,476050170,d127,c127
1107876102775676928,incendio,23,1,15,195951901,d128,c128
1108218053408538624,tránsito,0,0,0,903097695899934725,d129,c129
1108422637846491136,tránsito,1,2,1,845702510530777088,d130,c130
1108484737423806464,incendio,4,0,2,325928550,d131,c131
1108692809530462208,incendio,4,1,4,195951901,d132,c132
1109093718232055808,tránsito,6,2,8,1655555070,d133,c133
1109283057083867136,tránsito,0,0,0,907034630095867905,d134,c134
1109618088675291140,incendio,1,0,1,23377748,d135,c135
1109644097877204992,pirotecnia,0,0,0,48240206,d136,c136
1110157198976565248,tránsito,0,1,0,2927306928,d137,c137
1110244346618658818,tránsito,0,2,0,903097695899934725,d138,c138
1110304655307931648,tránsito,0,0,0,903097695899934725,d139,c139
1110449011029409792,tránsito,0,0,0,352749407,d140,c140
1110515012567740417,tránsito,0,0,0,2150148421,d141,c141
