pubID,tokens,mentions,hashtags
1088068380446343168,"planeado, arreglar, calle, cinematografista, ir, año, si, tú, favor, tarde, si, constructora, exijan él, polvo, tráfico, contaminación, descompostura","ClaraBrugadaM, Alc_Iztapalapa",
1088118904965263360,"controlar, incendio, unidad, río, mayo, san, rafael, atilio, lesionado","MetrobusCDMX, Alc_Iztapalapa",Precaución
1088131677862416385,"deber, hacer él, conjunto, alcaldía, cuauhtemoc, siempre, cerrado, vialidad, 20, noviembre, mucho, tráfico, prepotencia, policía, cerrar","BernardoBaranda, Alc_Iztapalapa, ClaraBrugadaM, CDMX_Semovi",contaminación
1088416073043660800,"diario, popocatépetl, universidad, cuauhtemoc, carril, confinado, servir, estacionamiento, pipas, gente, ir, plaza, útil, carril, solo, ocasionar, tráfico, contaminación",OVIALCDMX,
1088607683106795522,"ir, limpiar, carro, abandonado, eje, casi, esquina, av, guelatao, ocasionar, tráfico, contaminación, ocasionar","Alc_Iztapalapa, ClaraBrugadaM",
1088622131653439489,"señora, claudia, av, santa, lucía, alcaldía, alvaro, obregon, col, olivar, conde, deber, remover, vehículo, parado, vía, primario, sólo, ocasionar, contaminación, tráfico, ademas, microbús, van, bullata, rodar, cargar, pasar","Claudiashein, andreslajous",
1088815750855487490,"requerir, limpie, eje, casi, esquina, guelatao, carro, abandonado, quitar, dos, carril, eje, provocar, tráfico, pérdida, tiempo, contaminación","ALEIDAALAVEZ, Alc_Iztapalapa, Reforma, vozdeiztapalapa, ClaraBrugadaM, mario_delgado, CapitalMX_, LeticiaDiazAgu3, ojedaizt, Claudiashein",
1088962452304220160,"col, santa, cruz, meyehualco, necesitar, sendero, seguro, calle, 39, 47, ermita, calle, 14, samuel, romper, cuidar, integridad, vecino, habitante, tratar él, camino, alto, índice, tránsito, inseguridad","Alc_Iztapalapa, Cul_Iztapalapa, ClaraBrugadaM",
1089598831753334784,"cerrar, calle, domingo, ridículo, cerrar, avenida, principal, lateral, viaducto, tremenda, ponderado, todo, semana, tránsito, horrible, domingo, pensar, tranquilo, cao, contaminación","Claudiashein, DCMX, locatel_mx",
1089949842053521408,"precaución, incendio, alcaldía, corregidora, avenida, torres, colonia, miguel, hidalgo, segundo, sección",,Tlalpan
1089952860270481408,"registrar, incendio, pastizal, av, torres, corregidora, col, miguel, hidalgo, tlp",,"Precaución, C5"
1090340920271228929,"ambos, obra, regulación, hacer él, hora, pico, evitar, contaminación, tráfico","Claudiashein, BJAlcaldia, AlcaldiaAO, RedVialRC, radioredam, VialDF, retioDF",
1090351949961154560,"pueblo, tlalpan, comenzar, quemar, terreno, importar, contaminacion, si, afectar, terreno, contiguo, fuego, irresponsabilidad, persona, descomunal","TlalpanVecinos, TlalpanAl, patiaceves, SEMARNAT_mx, IEcologiaUNAM",
1090669307166507008,"precaución, edificio, lado, sacar, humo, tal, vez, ver, humo","ventelsdistrib, Alc_Iztapalapa",incendio
1090767518002790400,"favor, pasar, infracción, trailer, bco, poco, 75ab6p, infringir, rt, estacionado, lugar, prohibido, disco, transporte, pesado, obstruir, entrada, av, ángeles, and, troncos, and, valladolid, col, nva, españa, alcala, azcapotzalco","OVIALCDMX, transito_CDMX",70
1090785552046190594,"losa, popocatépetl, universidad, cuauhtemoc, hacer, carril, solo, gran, estacionamiento, generar, tráfico, contaminación",OVIALCDMX,
1091505928862556160,"querer, denunciar, altura, periférico, oriente, canal, san, juan, sur, 22, sur, 24, estudiante, ahogar él, obstaculizar, libre, tránsito, enfrente, pirateria, vender, alcohol","SSP_CDMX, IztacalcoAl, Alc_Iztapalapa",
1091514811341430785,"pan, cada, día, cruce, pesar, señalamiento, prohibido, transporte, público, hacer, aunque, tránsito","CCHUNAM, vidallerenas, 072AvialCDMX, AzcapotzalcoMx, seduviCDMX, GobCDMX, TodosSomosAzcap","Azcapotzalco, Edomex"
1092836045752803332,"querer, reportar, doble, fila, hacer, calle, sur, 138, col, americas, alcaldía, alvaro, obregon, lado, colegio, americano, afectar, vialidad, comentar, pbi, decir, hacer, caso, ser, tránsito",CEAC_SSPCMexico,
1092897946033577984,"automóvil, estacionado, 10min, horacio, polanco, neta, alguien, saber, onda, elemento, tránsito, aún, existir, insuficient, escondido, calle, saber, esperar, alguien, hacer, cruce, prohibido","MHAlcaldia, OVIALCDMX",Transito
1092931525660811265,"enterate, organización, diferente, comunidad, bloquear, entrada, principal, aeropuerto, benito, juarez, pasajero, afectado, rodear, bloqueo, parque, equipo, precaución, tráfico, zona",,Oaxaca
1093616350151561218,"poder, reportar, uno, persona, quemar, basura, santa, maría, nativo, delegación, xochimilco, señora, quemar, vez, semana, basura, humo, negro, salir","aqcazteca, C5_CDMX, SEDEMA_CDMX",
1093675056297857024,"buena, noche, seguir, esperar, apoyo, vial, visita, personal, tránsito, poder, confirmar, denuncia, automóvil, obstruir, entrada, domicilio","OVIALCDMX, UCS_GCDMX, SSP_CDMX, VigilanteCDMX",
1093955245519110144,"favor, pasar, infracción, trailer, rojo, poco, 19aj8c, infringir, rt, estacionado, lugar, prohibido, disco, transporte, pesado, obstruir, entrada, av, ángeles, and, troncos, and, valladolid, col, nva, españa, alca, azcapotzalco","UCS_GCDMX, transito_CDMX",69
1093982946405568513,"precaución, gente, hoy, antiguo, hamburgo, insurgente, derribar, escombro, eviten, pasar, ahí, pongan, atención, hacer él","reformaciudad, SPCCDMX, ACOZORO, Comitejuarez, LaDiana_Cazador, _DonJuarez, transito_CDMX, GobCDMX","HotelExcalibur, ColoniaJuarez"
1094111068992032768,"reportar, semáforo, av, méxico, col, paraje, zacatepec, alcaldía, iztapalapa, eje, eje, servir, hacer, tráfico, mañana, cao",C5_CDMX,
1094701649606586369,"acudir, si, hacer, caso, autoridad, funerario, ubicado, av, cuauhtemoc, 984, emitir, humo, crematorio, día","_Narvarte, En_Narvarte, PROFEPA_Mx, SEDEMA_CDMX, Claudiashein","Angelus, FunerariaAngelus, Contaminación"
1094945777837883392,"urgir, manden, agente, transito, crucero, antiguo, camino, xochimilco, gpe, ramirez, noria, xochimilco, caos, cruce, tren, automóvil, pasar, alto, día",SSP_CDMX,
1095056518385467397,"reportar, auto, manuel, gutierrez, najera, col, tránsito, alcaldía, cuauhtemoc, llevar, día, ahí, traer, placa, méxico","SSP_CDMX, UCS_GCDMX, OVIALCDMX, Alcaldia_Coy, AlcCuauhtemocMx, deleiztacalco, Alc_Iztapalapa, BJAlcaldia, AlcaldiaMHmx, TuAlcaldiaGAM",
1095427615786188802,"favor, enviar, apoyo, infracción, trailer, vde, poco, 427de4, estacionado, lugar, prohibido, disco, transporte, pesado, obstruir, entrada, av, ángeles, 69, andador, troncos, and, valladolid, col, nva, españa, alc, azcapotzalco","UCSCDMX, transito_CDMX",
1095737926636523520,"alcaldía, tlalpan, dejar, alto, índice, violencia, inseguridad, feminicidio, además, permitir, base, pirata, taxi, ambulanteaje, descarado, traer, tráfico, contaminación, inseguridad, solo, faltar, dar él, vuelta, picacho, ajusto","vampipe, Pajaropolitico, Claudiashein",
1095748181655048192,"tras, asalto, incendio, barbería, tláhuac, dueño, negocio, decidir, dejar, local, trabajar, exigir, alcalde, atienda, denuncia, reporte","RaymundoMtzVite, CarlosTejedaA, azucenau, janupi",TelediarioEnEl6
1095812958553280517,"nuevamente, reportar, semáforo, descompuesto, cruce, narciso, toronja, col, victoria, democracias, azcapotzalco, tercero, vez, ultimo, mes","AGUCDMX, transito_CDMX, AzcapotzalcoMx, vidallerenas, locatel_mx",
1095993653690945537,"nuevamente, denunciar, sitio, taxi, pirata, crucero, principal, tulyehualco, alcaldía, xochimilco, esquina, sitio, 227, tacitus, pirata, provocar, cao, vial, nadie, quitar, pasar, patrulla, tránsito, cobrar, mordida, estacional, tercero, fila","OVIALCDMX, lomurguia, jonpardinas, MarioBeteta",
