dateID,pubDate,pubYear,pubMonth,pubDay,pubHour,pubMinute
d103,2019-02-26 13:29:13,2019,2,26,13,29
d104,2019-02-27 08:52:05,2019,2,27,8,52
d105,2019-02-27 18:20:28,2019,2,27,18,20
d106,2019-02-27 20:01:48,2019,2,27,20,1
d107,2019-02-28 01:02:57,2019,2,28,1,2
d108,2019-02-28 07:58:51,2019,2,28,7,58
d109,2019-03-01 00:39:49,2019,3,1,0,39
d110,2019-03-03 20:50:57,2019,3,3,20,50
d111,2019-03-04 13:40:43,2019,3,4,13,40
d112,2019-03-04 14:00:14,2019,3,4,14,0
d113,2019-03-04 14:50:24,2019,3,4,14,50
d114,2019-03-04 20:02:20,2019,3,4,20,2
d115,2019-03-05 09:45:06,2019,3,5,9,45
d116,2019-03-05 11:28:06,2019,3,5,11,28
d117,2019-03-05 20:40:25,2019,3,5,20,40
d118,2019-03-06 17:12:53,2019,3,6,17,12
d119,2019-03-06 17:36:44,2019,3,6,17,36
d120,2019-03-06 19:48:32,2019,3,6,19,48
d121,2019-03-06 20:09:53,2019,3,6,20,9
d122,2019-03-08 09:08:37,2019,3,8,9,8
d123,2019-03-09 15:22:28,2019,3,9,15,22
d124,2019-03-10 00:12:37,2019,3,10,0,12
d125,2019-03-11 08:17:04,2019,3,11,8,17
d126,2019-03-11 14:38:24,2019,3,11,14,38
d127,2019-03-11 15:07:25,2019,3,11,15,7
d128,2019-03-11 18:19:02,2019,3,11,18,19
d129,2019-03-13 04:10:53,2019,3,13,4,10
d130,2019-03-14 09:18:45,2019,3,14,9,18
d131,2019-03-14 12:17:07,2019,3,14,12,17
d132,2019-03-14 13:10:25,2019,3,14,13,10
d133,2019-03-14 21:19:06,2019,3,14,21,19
d134,2019-03-15 15:13:27,2019,3,15,15,13
d135,2019-03-15 16:38:02,2019,3,15,16,38
d136,2019-03-16 03:42:09,2019,3,16,3,42
d137,2019-03-18 23:27:00,2019,3,18,23,27
d138,2019-03-19 22:05:48,2019,3,19,22,5
d139,2019-03-20 11:38:45,2019,3,20,11,38
d140,2019-03-20 15:45:30,2019,3,20,15,45
d141,2019-03-21 05:32:18,2019,3,21,5,32
d142,2019-03-22 08:05:23,2019,3,22,8,5
d143,2019-03-22 20:37:44,2019,3,22,20,37
d144,2019-03-23 18:49:02,2019,3,23,18,49
d145,2019-03-23 20:32:23,2019,3,23,20,32
d146,2019-03-25 06:31:16,2019,3,25,6,31
d147,2019-03-25 12:17:34,2019,3,25,12,17
d148,2019-03-25 16:17:12,2019,3,25,16,17
d149,2019-03-26 01:50:50,2019,3,26,1,50
d150,2019-03-26 06:13:06,2019,3,26,6,13
d151,2019-03-26 11:14:44,2019,3,26,11,14
d152,2019-03-26 11:28:52,2019,3,26,11,28
d153,2019-03-26 11:45:30,2019,3,26,11,45
d154,2019-03-26 20:45:21,2019,3,26,20,45
d155,2019-03-26 22:47:13,2019,3,26,22,47
d156,2019-03-27 07:06:23,2019,3,27,7,6
d157,2019-03-27 07:57:57,2019,3,27,7,57
d158,2019-03-27 14:35:05,2019,3,27,14,35
d159,2019-03-27 17:20:38,2019,3,27,17,20
d160,2019-03-27 19:51:25,2019,3,27,19,51
d161,2019-03-27 20:02:01,2019,3,27,20,2
d162,2019-03-27 20:02:31,2019,3,27,20,2
d163,2019-03-27 22:56:30,2019,3,27,22,56
d164,2019-03-28 09:47:16,2019,3,28,9,47
d165,2019-03-28 10:25:06,2019,3,28,10,25
d166,2019-03-28 14:59:13,2019,3,28,14,59
d167,2019-03-29 04:42:13,2019,3,29,4,42
d168,2019-03-29 11:24:27,2019,3,29,11,24
d169,2019-03-29 11:29:34,2019,3,29,11,29
d170,2019-03-29 11:48:36,2019,3,29,11,48
d171,2019-03-29 23:45:39,2019,3,29,23,45
d172,2019-03-30 12:17:21,2019,3,30,12,17
d173,2019-03-31 16:18:18,2019,3,31,16,18
d174,2019-03-31 21:10:05,2019,3,31,21,10
d175,2019-04-01 08:52:35,2019,4,1,8,52
d176,2019-04-01 15:01:50,2019,4,1,15,1
d177,2019-04-02 19:22:29,2019,4,2,19,22
d178,2019-04-03 06:14:18,2019,4,3,6,14
d179,2019-04-03 21:00:38,2019,4,3,21,0
d180,2019-04-03 21:55:45,2019,4,3,21,55
d181,2019-04-04 07:33:33,2019,4,4,7,33
d182,2019-04-04 08:27:01,2019,4,4,8,27
d183,2019-04-05 15:43:08,2019,4,5,15,43
d184,2019-04-05 15:56:53,2019,4,5,15,56
d185,2019-04-05 16:38:27,2019,4,5,16,38
d186,2019-04-07 14:55:16,2019,4,7,14,55
d187,2019-04-07 21:39:55,2019,4,7,21,39
d188,2019-04-07 22:32:57,2019,4,7,22,32
d189,2019-04-07 22:58:12,2019,4,7,22,58
d190,2019-04-08 00:08:27,2019,4,8,0,8
d191,2019-04-08 01:16:46,2019,4,8,1,16
d192,2019-04-08 13:59:40,2019,4,8,13,59
d193,2019-04-08 19:12:27,2019,4,8,19,12
d194,2019-04-11 07:13:11,2019,4,11,7,13
d195,2019-04-11 12:05:20,2019,4,11,12,5
d196,2019-04-11 12:20:37,2019,4,11,12,20
d197,2019-04-11 14:09:38,2019,4,11,14,9
d198,2019-04-11 14:47:22,2019,4,11,14,47
d199,2019-04-11 16:07:27,2019,4,11,16,7
d200,2019-04-11 17:38:30,2019,4,11,17,38
d201,2019-04-11 21:03:18,2019,4,11,21,3
d202,2019-04-11 21:28:59,2019,4,11,21,28
d203,2019-04-12 08:05:09,2019,4,12,8,5
d204,2019-04-12 10:05:31,2019,4,12,10,5
d205,2019-04-12 15:35:37,2019,4,12,15,35
