coordinateID,geoID,geoName,longitude,latitude
c113,7,Iztapalapa,-99.0567989642,19.3491663204
c114,2,Azcapotzalco,-99.1821069423,19.4853286147
c115,12,Tlalpan,-99.140238,19.2846922
c116,4,Cuajimalpa de Morelos,-99.3107285253,19.3246343001
c117,2,Azcapotzalco,-99.1821069423,19.4853286147
c118,13,Xochimilco,-99.0903636045,19.2451450458
c119,2,Azcapotzalco,-99.1821069423,19.4853286147
c120,7,Iztapalapa,-99.0567989642,19.3491663204
c121,2,Azcapotzalco,-99.1821069423,19.4853286147
c122,2,Azcapotzalco,-99.1821069423,19.4853286147
c123,16,Miguel Hidalgo,-99.1843501,19.3998346
c124,2,Azcapotzalco,-99.1821069423,19.4853286147
c125,3,Coyoacán,-99.1429637,19.3077445
c126,2,Azcapotzalco,-99.1821069423,19.4853286147
c127,5,Gustavo A. Madero,-99.1158642087,19.5040652077
c128,7,Iztapalapa,-99.0567989642,19.3491663204
c129,2,Azcapotzalco,-99.1821069423,19.4853286147
c130,7,Iztapalapa,-99.0567989642,19.3491663204
c131,2,Azcapotzalco,-99.1821069423,19.4853286147
c132,11,Tláhuac,-99.0028216137,19.2769983772
c133,15,Cuauhtémoc,-99.16878171588095,19.436181641664845
c134,2,Azcapotzalco,-99.1821069423,19.4853286147
c135,11,Tláhuac,-99.0028216137,19.2769983772
c136,15,Cuauhtémoc,-99.1490557562,19.4313734294
c137,12,Tlalpan,-99.2062207957,19.1983396763
c138,2,Azcapotzalco,-99.1821069423,19.4853286147
c139,2,Azcapotzalco,-99.1821069423,19.4853286147
c140,3,Coyoacán,-99.1503763525,19.3266672536
c141,7,Iztapalapa,-99.0567989642,19.3491663204
c142,12,Tlalpan,-99.2062207957,19.1983396763
c143,7,Iztapalapa,-99.0567989642,19.3491663204
c144,16,Miguel Hidalgo,-99.2045669144,19.4280623649
c145,2,Azcapotzalco,-99.1821069423,19.4853286147
c146,16,Miguel Hidalgo,-99.1843501,19.3998346
c147,15,Cuauhtémoc,-99.259495,19.3863707
c148,16,Miguel Hidalgo,-99.1843501,19.3998346
c149,2,Azcapotzalco,-99.1821069423,19.4853286147
c150,13,Xochimilco,-99.0903636045,19.2451450458
c151,2,Azcapotzalco,-99.1821069423,19.4853286147
c152,2,Azcapotzalco,-99.1821069423,19.4853286147
c153,5,Gustavo A. Madero,-99.1158642087,19.5040652077
c154,7,Iztapalapa,-99.0567989642,19.3491663204
c155,7,Iztapalapa,-99.0567989642,19.3491663204
c156,7,Iztapalapa,-99.0567989642,19.3491663204
c157,8,La Magdalena Contreras,-99.2684129061,19.2689765031
c158,7,Iztapalapa,-99.0567989642,19.3491663204
c159,2,Azcapotzalco,-99.1821069423,19.4853286147
c160,2,Azcapotzalco,-99.1821069423,19.4853286147
c161,17,Venustiano Carranza,-99.0931057959,19.4304954545
c162,11,Tláhuac,-99.0028216137,19.2769983772
c163,16,Miguel Hidalgo,-99.1843501,19.3998346
c164,7,Iztapalapa,-99.0567989642,19.3491663204
c165,13,Xochimilco,-99.0903636045,19.2451450458
c166,16,Miguel Hidalgo,-99.1843501,19.3998346
c167,16,Miguel Hidalgo,-99.1843501,19.3998346
c168,5,Gustavo A. Madero,-99.1393354,19.5184253
c169,15,Cuauhtémoc,-99.128294,19.4043522
c170,6,Iztacalco,-99.094329797,19.396911897
c171,13,Xochimilco,-99.0903636045,19.2451450458
c172,7,Iztapalapa,-99.0567989642,19.3491663204
c173,13,Xochimilco,-99.0903636045,19.2451450458
c174,2,Azcapotzalco,-99.1821069423,19.4853286147
c175,2,Azcapotzalco,-99.1821069423,19.4853286147
c176,3,Coyoacán,-99.1919955,19.357102
c177,5,Gustavo A. Madero,-99.1158642087,19.5040652077
c178,10,Álvaro Obregón,-99.246819712,19.336175562
c179,12,Tlalpan,-99.2062207957,19.1983396763
c180,12,Tlalpan,-99.2062207957,19.1983396763
c181,12,Tlalpan,-99.2062207957,19.1983396763
c182,13,Xochimilco,-99.0903636045,19.2451450458
c183,2,Azcapotzalco,-99.1821069423,19.4853286147
c184,2,Azcapotzalco,-99.1821069423,19.4853286147
c185,12,Tlalpan,-99.2062207957,19.1983396763
c186,12,Tlalpan,-99.2062207957,19.1983396763
c187,2,Azcapotzalco,-99.1821069423,19.4853286147
c188,12,Tlalpan,-99.2062207957,19.1983396763
c189,13,Xochimilco,-99.0903636045,19.2451450458
c190,13,Xochimilco,-99.0903636045,19.2451450458
c191,7,Iztapalapa,-99.0567989642,19.3491663204
c192,2,Azcapotzalco,-99.1821069423,19.4853286147
c193,4,Cuajimalpa de Morelos,-99.28025399767463,19.36094873147471
c194,11,Tláhuac,-99.0028216137,19.2769983772
c195,2,Azcapotzalco,-99.1821069423,19.4853286147
c196,7,Iztapalapa,-99.0567989642,19.3491663204
c197,7,Iztapalapa,-99.0567989642,19.3491663204
c198,2,Azcapotzalco,-99.1821069423,19.4853286147
c199,3,Coyoacán,-99.1503763525,19.3266672536
c200,16,Miguel Hidalgo,-99.2045669144,19.4280623649
c201,2,Azcapotzalco,-99.1821069423,19.4853286147
c202,12,Tlalpan,-99.2062207957,19.1983396763
c203,17,Venustiano Carranza,-99.0931057959,19.4304954545
c204,16,Miguel Hidalgo,-99.2045669144,19.4280623649
c205,13,Xochimilco,-99.0903636045,19.2451450458
c206,8,La Magdalena Contreras,-99.2684129061,19.2689765031
c207,16,Miguel Hidalgo,-99.2045669144,19.4280623649
c208,7,Iztapalapa,-99.0567989642,19.3491663204
c209,15,Cuauhtémoc,-99.1490557562,19.4313734294
c210,2,Azcapotzalco,-99.1821069423,19.4853286147
c211,5,Gustavo A. Madero,-99.1158642087,19.5040652077
c212,12,Tlalpan,-99.2062207957,19.1983396763
c213,12,Tlalpan,-99.2062207957,19.1983396763
c214,5,Gustavo A. Madero,-99.1158642087,19.5040652077
c215,13,Xochimilco,-99.0903636045,19.2451450458
c216,2,Azcapotzalco,-99.1821069423,19.4853286147
c217,3,Coyoacán,-99.1503763525,19.3266672536
c218,16,Miguel Hidalgo,-99.1843501,19.3998346
c219,2,Azcapotzalco,-99.1821069423,19.4853286147
c220,15,Cuauhtémoc,-99.1490557562,19.4313734294
c221,2,Azcapotzalco,-99.1821069423,19.4853286147
c222,7,Iztapalapa,-99.0567989642,19.3491663204
c223,15,Cuauhtémoc,-99.1490557562,19.4313734294
c224,16,Miguel Hidalgo,-99.18134755,19.4201625
c225,13,Xochimilco,-99.0903636045,19.2451450458
c226,10,Álvaro Obregón,-99.246819712,19.336175562
c227,15,Cuauhtémoc,-99.1490557562,19.4313734294
c228,4,Cuajimalpa de Morelos,-99.3107285253,19.3246343001
c229,7,Iztapalapa,-99.0567989642,19.3491663204
c230,16,Miguel Hidalgo,-99.1843501,19.3998346
