pubID,topicQuery,tweet,likeCount,replyCount,retweetCount,authorID,dateID,geoID
1083219688421761024,incendio,"#Incendio en el #Ajusco, #Tlalpan habrá contingencia y chayoteros culpando a #AMLO​ | Ultimas noticias https://t.co/ZK6EfxkT0f",0,0,0,124540574,d23,12
1083443599126261760,tránsito,"@retioDF urge un policía de tránsito en el semáforo ab Ricardo flores Magón esq Zaragoza, se pasan alto no dejan dar vuelta izq y es un caos xfa",0,0,0,3832749620,d24,16
1083928352862425088,tránsito,@Paty_OrtizC @SSP_CDMX @CDMX_Semovi @ALaMagdalenaC Puede programar un operativo para ponerle un alto a los abusos del colegio Grenn Hils en avenida San Bernabé que todos los dias generan tráfico dobles filas aun teniendo su estacionamiento enfrente ó donde podemos solicitar un permiso asi como el de ellos para adueñarse de calles,5,0,0,1618286407,d25,16
1084146122111766529,tránsito,Precaución! se encuentra laborando personal de la CFE en privada Miguel Hidalgo. tome previsiones https://t.co/JToYvdT6As,1,0,1,3290590946,d26,16
1084501005545496576,incendio,"#Precaución Personal de bomberos en camino por incendio de casa habitacion sobre la Calz. de Tlalpan y Cerro San Antonio, Col. Educación, COY. #C5.",13,0,2,195951901,d27,12
1084510942291910656,incendio,"Bomberos trabajan en el campamento del Multifamiliar en Tlalpan, donde se registra un incendio.   #Precaución https://t.co/uOhLKlgP18",8,1,5,293063533,d28,12
1084535871829733376,tránsito,"Ojala y esto no sirva para organizarnos mejor, ser conscientes de la contaminación, el tráfico y usar el coche cuando sea necesario, buscar alternarivas de movilidad #YoApoyoLaLuchaVsHuachicol",0,0,0,352712579,d29,16
1085248803681255424,tránsito,"@OVIALCDMX @UCS_GCDMX tráfico máximo, Av prolongación Vistahermosa, @Cuajimalpa_DSP santa fé, vehículos estacionados en lugar prohibido. https://t.co/SEHH3EMJlg",0,2,0,82202570,d30,4
1085902931671613440,incendio,INCENDIO DE MICROBUS AFUERA DE LA GASOLINERA DE TAXQUEÑA Y PASEO DE LOS JARDINES EN #coyoacan. BOMBEROS AL LUGAR. PRECAUCIÓN. LMBG https://t.co/P4kvRSCxvK,1,0,2,539317712,d31,3
1086107202526564353,tránsito,"@UCS_GCDMX @SSP_CDMX  para reportar autos estacionados en el parabus que esta a un costado del Hospital Gea González, obstruyen el ascenso y descenso de pasajeros así como el tráfico ya que uno de los dos carriles de Calzada Tlalpan casi esquina con San Fernando",0,3,0,1083485392979066883,d32,12
