authorID,authorUsername,authorCreatedAt,authorVerified,followersCount,followingCount
1026582354851246080,SindicatoHCB,2018-08-06 15:34:41,0,2723,531
195951901,C5_CDMX,2010-09-27 17:51:04,1,926205,763
870146764480757760,jh_infocdmx2017,2017-05-31 23:15:29,0,123,279
3027660039,Analisis71,2015-02-09 23:01:24,0,20,345
2169379734,Quadratin_Mor,2013-11-01 19:45:06,0,6924,996
852438433,Lauroita1,2012-09-29 01:38:29,0,1,63
128765996,quepocamadree,2010-04-01 21:56:55,0,3972,1642
1026582354851246080,SindicatoHCB,2018-08-06 15:34:41,0,2723,531
1026582354851246080,SindicatoHCB,2018-08-06 15:34:41,0,2723,531
1026582354851246080,SindicatoHCB,2018-08-06 15:34:41,0,2723,531
87350793,SUUMA_CDMX,2009-11-03 21:07:26,0,43180,86
245414986,lamraven,2011-01-31 11:03:43,0,38,311
1060876809993183233,CarlaPoleaux,2018-11-09 06:48:36,0,1747,3026
170366148,Olivem294,2010-07-24 10:53:00,0,243,262
1037711864,HCKMX,2012-12-26 12:11:51,0,19,207
703758800503767040,ismriv1,2016-02-27 19:49:08,0,1,10
257236830,esalgadoflores1,2011-02-24 18:51:58,0,75,286
195951901,C5_CDMX,2010-09-27 17:51:04,1,926205,763
124540574,connollyroot,2010-03-19 12:53:24,0,672,835
3832749620,misticaqb,2015-10-08 22:45:16,0,53,338
1618286407,eolivo79,2013-07-24 11:38:01,0,380,1539
3290590946,Transito_Vtlane,2015-07-24 11:34:46,0,7047,50
195951901,C5_CDMX,2010-09-27 17:51:04,1,926205,763
293063533,MrElDiablo8,2011-05-04 12:00:15,1,172339,888
352712579,togamed,2011-08-10 18:25:38,0,458,2439
82202570,ZAMLIDER,2009-10-13 15:57:01,0,605,2061
539317712,Claridaddiario,2012-03-28 13:30:55,0,1686,408
1083485392979066883,DanTeniente132,2019-01-10 16:07:02,0,12,257
744649906753703936,NotiRoja,2016-06-19 15:55:47,0,1718,603
195951901,C5_CDMX,2010-09-27 17:51:04,1,926205,763
594254451,andreaquilon,2012-05-29 18:53:06,0,797,1017
1083485392979066883,DanTeniente132,2019-01-10 16:07:02,0,12,257
229730773,marc0s_garc1a,2010-12-22 23:13:42,0,56,251
293063533,MrElDiablo8,2011-05-04 12:00:15,1,172339,888
177730590,manolo_DH,2010-08-12 16:52:26,0,133,523
4384974203,kuquisoto,2015-12-05 10:57:56,0,9,80
1024121354931585024,MateoHe45988762,2018-07-30 20:35:33,0,3,167
117997817,marcosilva_tv,2010-02-27 02:03:36,0,24067,4440
1024121354931585024,MateoHe45988762,2018-07-30 20:35:33,0,3,167
580408959,Gudeza_Guadalu,2012-05-14 17:13:36,0,18,171
392267545,charly_GLS,2011-10-16 13:43:49,0,106,165
4882567385,Muerxico,2016-02-06 12:31:54,0,17314,62
195951901,C5_CDMX,2010-09-27 17:51:04,1,926205,763
278615043,NenaAlquicira,2011-04-07 10:31:25,0,154,551
906126334698459136,Sarasalazar100,2017-09-08 06:05:28,0,71,334
135137502,FAUSANSMX,2010-04-20 06:51:20,0,239,973
903097695899934725,LXM2608,2017-08-30 21:30:44,0,22,129
4384974203,kuquisoto,2015-12-05 10:57:56,0,9,80
124197448,YONATANREY,2010-03-18 09:42:12,0,343,3197
1091505356478459904,OrgulloPunk,2019-02-01 19:15:30,0,64,550
198033293,noe_aguilar_,2010-10-02 22:33:21,0,6,90
1056974464607490048,Elefant00252079,2018-10-29 12:22:04,0,15,270
175922142,PressLibreMx,2010-08-07 19:20:59,0,13498,614
2878333274,anny_kokishin,2014-10-26 07:45:50,0,16,315
3293707669,Nesmtz865,2015-07-25 15:31:27,0,29,156
907034630095867905,FZ10MPP,2017-09-10 18:14:42,0,9,144
944093036652273664,LaColoniaJuarez,2017-12-22 00:31:35,0,6032,754
547904626,feliz_go,2012-04-07 14:54:10,0,394,844
102797694,matymn,2010-01-07 15:36:44,0,413,761
346787085,nolemape,2011-08-01 14:55:36,0,51,251
3306389023,saredwg,2015-08-04 14:56:28,0,0,18
903097695899934725,LXM2608,2017-08-30 21:30:44,0,22,129
990013299898056709,claus34110212,2018-04-27 17:42:19,0,169,883
900122660537077762,telediario,2017-08-22 16:29:00,1,175387,817
73550141,Zavala_CDMX,2009-09-11 20:35:31,0,285,905
4716158412,erivanpeloy,2016-01-05 19:46:13,0,56,342
281316561,ruthtzin,2011-04-12 20:06:14,0,5147,979
1347278918,ReporteCuauhtem,2013-04-12 11:00:00,0,768,148
415242374,tavojeda5,2011-11-17 20:45:54,0,20203,364
743878493277028352,TioTravieso,2016-06-17 12:50:28,0,893,181
293063533,MrElDiablo8,2011-05-04 12:00:15,1,172339,888
903097695899934725,LXM2608,2017-08-30 21:30:44,0,22,129
195951901,C5_CDMX,2010-09-27 17:51:04,1,926205,763
1260334975,elpoliciaco_czm,2013-03-11 14:17:52,0,226,335
910243021928660993,rnavarro1967,2017-09-19 14:43:42,0,6,69
140813267,eugenio_zetina,2010-05-06 06:38:39,0,571,647
600630501,dtodoen,2012-06-05 18:45:02,0,746,959
183858888,Tiempo_DF,2010-08-27 20:10:16,0,36590,83
296915250,Principezza8,2011-05-11 10:17:41,0,12,430
110413134,cramospadilla,2010-02-01 07:14:16,0,11395,1807
35977487,lajornadaonline,2009-04-27 21:40:43,1,2781661,291
61788290,adrichavezs,2009-07-31 08:56:04,0,1424,3108
88882540,HBeristain,2009-11-10 02:26:21,0,961,2794
784910771054481408,cesb72,2016-10-08 18:18:05,0,0,95
2181220531,domartrujillo,2013-11-07 19:28:22,0,120,1526
1037504796008308736,mepa_bety,2018-09-05 18:56:34,0,289,528
187297417,miguelam_,2010-09-05 14:55:01,0,247,1357
108448758,AntiguoNeotuzo,2010-01-25 18:02:28,0,3003,2814
907034630095867905,FZ10MPP,2017-09-10 18:14:42,0,9,144
185751836,cesarmco8,2010-09-01 13:12:13,0,21,337
236256131,ETC_LUISSANDIZ,2011-01-09 22:52:49,0,126,227
166594238,OVIALCDMX,2010-07-14 09:00:43,1,1935859,133
292098385,PASenVERDE,2011-05-02 21:04:57,0,1012,1564
195951901,C5_CDMX,2010-09-27 17:51:04,1,926197,763
907034630095867905,FZ10MPP,2017-09-10 18:14:42,0,9,144
907034630095867905,FZ10MPP,2017-09-10 18:14:42,0,9,144
1131669266,ProcivilTabasco,2013-01-29 11:34:54,0,41234,560
76957371,christiansaids,2009-09-24 08:52:47,0,1722,993
3290590946,Transito_Vtlane,2015-07-24 11:34:46,0,7046,50
54470725,chuy_cuantico,2009-07-07 00:21:26,0,596,1675
759136141224218624,OpEsMx,2016-07-29 15:18:55,0,26636,72
375350505,radrianarz,2011-09-17 17:59:32,0,58,387
111110077,elsolde_mexico,2010-02-03 15:08:29,1,98551,804
111110077,elsolde_mexico,2010-02-03 15:08:29,1,98551,804
162401957,giovannirodrigo,2010-07-03 09:09:46,0,2524,2514
205332910,PosadaViena,2010-10-20 10:51:59,0,395,446
197812020,_AxelHernandezG,2010-10-02 08:44:32,0,81,858
155387513,PabloLoDa,2010-06-13 18:52:15,0,246,703
903097695899934725,LXM2608,2017-08-30 21:30:44,0,22,129
907034630095867905,FZ10MPP,2017-09-10 18:14:42,0,9,144
903097695899934725,LXM2608,2017-08-30 21:30:44,0,22,129
907034630095867905,FZ10MPP,2017-09-10 18:14:42,0,9,144
715614606656339968,juvims071,2016-03-31 12:59:52,0,245,882
1535337228,FRENTEALIANZABG,2013-06-20 18:23:41,0,2396,4996
33448436,jorgeisaias,2009-04-20 00:43:17,0,318,89
864614439995285506,pueblosantafe,2017-05-16 16:52:01,0,1894,263
903097695899934725,LXM2608,2017-08-30 21:30:44,0,22,129
708911604964831233,arace71,2016-03-13 01:04:32,0,27,92
907034630095867905,FZ10MPP,2017-09-10 18:14:42,0,9,144
195951901,C5_CDMX,2010-09-27 17:51:04,1,926205,763
903097695899934725,LXM2608,2017-08-30 21:30:44,0,22,129
903097695899934725,LXM2608,2017-08-30 21:30:44,0,22,129
1022534991031488513,RubnPliego1,2018-07-26 11:31:54,0,15,16
903097695899934725,LXM2608,2017-08-30 21:30:44,0,22,129
189181028,explosivenok,2010-09-10 09:56:35,0,25,97
903097695899934725,LXM2608,2017-08-30 21:30:44,0,22,129
476050170,CruzRoja_CDMX,2012-01-27 12:27:33,0,43729,370
195951901,C5_CDMX,2010-09-27 17:51:04,1,926205,763
903097695899934725,LXM2608,2017-08-30 21:30:44,0,22,129
845702510530777088,Mexico_lindo00,2017-03-25 12:22:45,0,56,406
325928550,tumperegrino,2011-06-28 21:03:38,0,1123,2456
195951901,C5_CDMX,2010-09-27 17:51:04,1,926205,763
1655555070,Garrido1972,2013-08-08 09:12:49,0,31,170
907034630095867905,FZ10MPP,2017-09-10 18:14:42,0,9,144
23377748,AztecaNoticias,2009-03-08 18:35:31,1,824594,925
48240206,itopa_gc,2009-06-17 22:09:03,0,99,255
2927306928,munguimusic,2014-12-11 21:51:29,0,408,323
903097695899934725,LXM2608,2017-08-30 21:30:44,0,22,129
903097695899934725,LXM2608,2017-08-30 21:30:44,0,22,129
352749407,pacoramomi,2011-08-10 19:35:56,0,187,280
2150148421,AAcostaDt,2013-10-22 21:18:27,0,283,715
277111294,ALEXGAR64,2011-04-04 12:30:09,0,1688,4789
955245619240718336,luisangel9527,2018-01-21 19:07:58,0,42,1503
85393766,luiscomet,2009-10-26 13:33:41,0,187,514
903097695899934725,LXM2608,2017-08-30 21:30:44,0,22,129
166594238,OVIALCDMX,2010-07-14 09:00:43,1,1935861,133
812060605,CtoEducadoresSA,2012-09-08 19:27:53,0,2346,1111
1022534991031488513,RubnPliego1,2018-07-26 11:31:54,0,15,16
907034630095867905,FZ10MPP,2017-09-10 18:14:42,0,9,144
230007150,Adzzzz,2010-12-23 18:23:53,0,335,960
903097695899934725,LXM2608,2017-08-30 21:30:44,0,22,129
907034630095867905,FZ10MPP,2017-09-10 18:14:42,0,9,144
150861704,Odette88GC,2010-06-01 19:01:30,0,953,1069
40098528,trafico889,2009-05-14 16:06:13,1,897301,69
195951901,C5_CDMX,2010-09-27 17:51:04,1,926205,763
95949592,NoticiasImagen,2009-12-10 11:53:20,0,224131,318
2288773188,montellano500,2014-01-12 16:54:11,0,23,585
195951901,C5_CDMX,2010-09-27 17:51:04,1,926205,763
903097695899934725,LXM2608,2017-08-30 21:30:44,0,22,129
907034630095867905,FZ10MPP,2017-09-10 18:14:42,0,9,144
106548161,Zvierboi,2010-01-19 16:45:54,0,1158,2162
432710841,doncarlosrivero,2011-12-09 11:58:24,0,134,276
82340948,rodsanrey,2009-10-14 05:53:31,0,31,67
117848659,rnavavega,2010-02-26 14:34:55,0,372,517
1112548924378808320,Rolandogame56g1,2019-03-31 20:55:08,0,0,1
1020430410319216640,Javyrey3,2018-07-20 16:09:03,0,77,186
134319754,Van_Haussen,2010-04-17 20:55:34,0,827,1441
422149542,CTezcatlipoca,2011-11-26 15:48:21,0,5,17
111463164,EPAZROJAS,2010-02-04 18:59:29,0,88,542
182182957,SONRISA1967,2010-08-23 18:59:33,0,40,88
105870328,lettykoalita,2010-01-17 13:35:22,0,587,551
122138735,jcblancoc4,2010-03-11 12:31:57,0,3146,4251
625174147,al_Azahr,2012-07-02 19:58:10,0,132,276
903097695899934725,LXM2608,2017-08-30 21:30:44,0,22,129
907034630095867905,FZ10MPP,2017-09-10 18:14:42,0,9,144
60649751,LauraRamirezO,2009-07-27 11:06:07,0,213,460
231622052,kunkun1906,2010-12-28 19:25:18,0,222,498
893992406093365249,ganitasdebailar,2017-08-05 18:29:33,0,17,171
136763692,chematierra,2010-04-24 15:23:12,0,146506,149
2955281005,ElPolloMx28,2015-01-01 14:34:54,0,23536,530
832614617885052929,FRojasmadrid,2017-02-17 09:36:08,0,1,32
1552466989,DonVivanco,2013-06-28 01:10:13,0,178,364
71596342,velantonio,2009-09-04 12:04:11,0,149,839
907034630095867905,FZ10MPP,2017-09-10 18:14:42,0,9,144
104920825,soyturefan,2010-01-14 14:22:29,0,237,707
807024104083750912,marx_alarcon,2016-12-08 18:48:35,0,166,175
813234940657680384,AdolfoC20125601,2016-12-25 22:08:13,0,0,45
121376182,matorices,2010-03-09 03:13:00,0,3,22
283581314,PlettTanya,2011-04-17 09:41:10,0,27,77
93556472,Xochimilco_MX,2009-11-29 22:03:05,0,5362,1182
168306068,tonitoNunez,2010-07-18 18:26:45,0,179,159
332060827,loaizale,2011-07-08 22:40:22,0,168,364
111695279,lalarockula,2010-02-05 15:09:58,0,185,892
121549722,RedVialRC,2010-03-09 15:21:38,0,200494,326
903097695899934725,LXM2608,2017-08-30 21:30:44,0,22,129
875429260919324673,maifrend_,2017-06-15 13:06:15,0,2953,858
195951901,C5_CDMX,2010-09-27 17:51:04,1,926206,763
903097695899934725,LXM2608,2017-08-30 21:30:44,0,22,129
476050170,CruzRoja_CDMX,2012-01-27 12:27:33,0,43729,370
238242524,c4_ver,2011-01-14 12:14:50,0,54742,96
3717425893,AzcaTranseunte,2015-09-28 12:24:29,0,477,1069
790373131319848960,JorgeMa20619688,2016-10-23 20:03:33,0,7,28
1563936229,FotosNoticias,2013-07-02 13:16:59,0,19347,676
1482740335,LaiCampeche,2013-06-04 10:45:42,0,2822,92
2608991350,jmrnew,2014-06-14 08:53:16,0,85,929
139195814,Notapersonal211,2010-05-01 15:27:30,0,113,466
150913226,xevtfm,2010-06-01 22:01:04,0,86511,1044
293063533,MrElDiablo8,2011-05-04 12:00:15,1,172339,888
293063533,MrElDiablo8,2011-05-04 12:00:15,1,172339,888
903097695899934725,LXM2608,2017-08-30 21:30:44,0,22,129
733170186,CarlosTejedaA,2012-08-02 10:54:08,0,5540,1850
129653196,Rutilya,2010-04-04 19:00:29,0,203,553
1944969650,AreaComunCDMX,2013-10-07 13:07:45,0,499,992
777156215541555205,huitzil_julio,2016-09-17 08:44:15,0,219,249
887696026890518528,compiladoraMX,2017-07-19 09:30:00,0,349,391
903097695899934725,LXM2608,2017-08-30 21:30:44,0,22,129
3259055186,panteracoy,2015-06-28 10:03:02,0,106,563
994367442,acassiadorada,2012-12-06 22:52:10,0,66,120
907034630095867905,FZ10MPP,2017-09-10 18:14:42,0,9,144
144705945,riva_leo,2010-05-16 20:54:29,0,29779,2028
907034630095867905,FZ10MPP,2017-09-10 18:14:42,0,9,144
700530414968922114,maraerikmama,2016-02-18 22:00:40,0,8,36
1604386056,Vitorr_elbomber,2013-07-18 15:45:34,0,12215,1577
154049291,lauraathie,2010-06-10 00:49:35,0,1013,1015
76462054,AnaLaoH,2009-09-22 15:51:46,0,480,598
121431425,Alquimistaroy,2010-03-09 07:39:54,0,243,483
2248317919,shirlon23go,2013-12-16 00:50:10,0,51,211
864614439995285506,pueblosantafe,2017-05-16 16:52:01,0,1894,263
195951901,C5_CDMX,2010-09-27 17:51:04,1,926204,763
1022534991031488513,RubnPliego1,2018-07-26 11:31:54,0,15,16
1125915509571059712,RafaRod06114904,2019-05-07 18:09:10,0,0,8
195951901,C5_CDMX,2010-09-27 17:51:04,1,926204,763
1398007087,ramiroielizondo,2013-05-02 13:22:14,0,5,41
767386604013023233,GabrielSanMx,2016-08-21 09:43:18,0,1374,1481
903097695899934725,LXM2608,2017-08-30 21:30:44,0,22,129
195951901,C5_CDMX,2010-09-27 17:51:04,1,926200,763
903097695899934725,LXM2608,2017-08-30 21:30:44,0,22,129
121549722,RedVialRC,2010-03-09 15:21:38,0,200494,326
3644895553,bsk_mtz,2015-09-21 22:13:55,0,450,825
3312045686,patrimunive,2015-08-10 21:32:08,0,807,1991
268258744,OmegaNaucalpan,2011-03-18 06:26:30,0,4500,96
52049911,tulata,2009-06-29 07:07:39,0,2202,4999
89499739,funghy,2009-11-12 11:55:30,0,505,441
47868258,maylat,2009-06-16 23:33:57,0,509,190
703635807337259008,ibar2806,2016-02-27 11:40:24,0,22,46
103150136,AdrianRubalcava,2010-01-08 20:12:31,1,62806,1463
3069282379,TresTvMexico,2015-03-09 00:54:02,0,395,846
802003144729235457,quesoloAna,2016-11-24 22:17:04,0,1774,823
847679196008599553,TlatoaniCuau,2017-03-30 23:17:24,0,227,644
256204008,ni_puta_idea,2011-02-22 15:45:24,0,284,378
310044500,revistasisomos,2011-06-02 21:17:32,0,6061,2155
22885703,CandyFG,2009-03-04 23:32:18,0,1159,1507
180252335,perrilio,2010-08-18 22:54:15,0,64,705
255658088,guadalupe2hdez,2011-02-21 14:19:24,0,136,422
70810233,C_Alighieri,2009-09-01 16:48:25,0,200,519
