pubID,topicQuery,tweet,likeCount,replyCount,retweetCount,authorID,authorName,authorUsername,authorCreatedAt,authorVerified,followersCount,followingCount,pubDate,pubYear,pubMonth,pubDay,pubHour,pubMinute,geoID,geoName,longitude,latitude
1155995320754425859,tránsito,"@SSP_CDMX en el cruce de Montevideo y Vallejo, los conductores no respetan el semáforo y hay mucho tráfico, contaminación y retraso, manden agentes de tránsito para agilizar.",1,1,0,120629573,Alejandro Miranda,el_lic_milenio,2010-03-06 20:07:02,False,79,568,2019-07-29 18:15:36,2019,07,29,18,15,2,Azcapotzalco,-99.180678,19.444937
1146464423802015744,tránsito,@LUISILLO_27 @TuAlcaldiaGAM Poe el bloqueó de policías federales en la autopista que llega a #IndiosVerdes hay mucho tráfico desde centenario hasta la entrada del @MetroCDMX #martincarrera línea 6 y a eso súmale en accidente de 4 autos en la av. Martín carrera por donde se pone el tianguis .,0,0,1,837288685775253505,Mike Velázquez,zackthug4er,2017-03-02 07:09:13,False,163,184,2019-07-03 11:03:13,2019,07,03,11,03,2,Azcapotzalco,-99.180678,19.444937
1146947326755397632,tránsito,"#InformaPGJ Tras recibir un llamado vía radio, elementos de la @SSP_CDMX acudieron al lugar donde una mujer falleció por un accidente de transito; los hechos ocurrieron en calles de alcaldía #Azcapotzalco. El MP inició una investigación",1,0,2,561471584,Fiscalía CDMX,FiscaliaCDMX,2012-04-23 15:12:02,True,437798,184,2019-07-04 19:02:06,2019,07,04,19,02,2,Azcapotzalco,19.4853286147,-99.1821069423
1149291963709087744,tránsito,"Los otros imprudentes de #CDMX @Qualitas_MX solo les falta el Color Blanco, llegan a tiempo o provocan 1 accidente, Contratarian un Seguro Con una Empresa asi? NO es responsable  y permite vioalciones al reglamento de tránsito a sus ajustadores #FelizJueves #Precaucion #Vialidad https://t.co/IJ8I7RAmX1",1,0,0,146529600, Sergio Alva,Alva_Vazquez,2010-05-21 11:23:03,False,1177,4999,2019-07-11 06:18:51,2019,07,11,06,18,3,Coyoacán,-99.19015079457657,19.361077693994137
1148301131665301505,tránsito,Al parecer algún accidente en Periférico Sur muchas ambulancias y tráfico detenido https://t.co/nRlpYZKF07,0,0,0,33305011,🇯 🇺 🇦 🇳 🇵 🇦 🇲🇽,juanpass,2009-04-19 14:32:14,False,1580,4981,2019-07-08 12:41:38,2019,07,08,12,41,3,Coyoacán,-99.1562935,19.296358
1147585441576570880,tránsito,@TransitoCdMx @transito_CDMX @CDHDF combi tapando visibilidad desde hace meses. ayer grave accidente con heridos ¿cuando la quitan@ https://t.co/Kd0bZCswe2,0,0,0,173078932,Martha Gomez,gomezmc,2010-07-31 04:55:20,False,28,124,2019-07-06 13:17:45,2019,07,06,13,17,3,Coyoacán,-99.21825049,19.33818722
1147577692402987009,tránsito,"@SOBSECDMX @C5_CDMX @OVIALCDMX @UCS_GCDMX @SSP_CDMX sólo a ustedes se les ocurre hacer mantenimiento a esta hora y dejar las camionetas estacionadas sobre la lateral del Periférico en el carril de alta a la altura de Gran Sur, tráfico y contaminación",0,0,0,347392639,Alma Delia Nunez,AlmaDeliaNunez,2011-08-02 12:43:30,False,53,79,2019-07-06 12:46:57,2019,07,06,12,46,3,Coyoacán,-99.2058092,19.2970107
1146837505213288448,tránsito,@ssp es increíble que siendo de tránsito no tenga la precaución de NO ABRIR LA PUERTA DEL LADO DE LA CIRCULACION y afectaron mi vh y obvio estoy en espera de su seguro,0,0,0,151313610,ALY,ALY_SON30,2010-06-02 21:32:52,False,26,148,2019-07-04 11:45:43,2019,07,04,11,45,3,Coyoacán,-99.324375,19.232228
1146082142696419331,tránsito,"""En el Puto tráfico y sin café!!"" Así mi día Joaquín ese fue mi reporte, Regreso los micrófonos al estudio. https://t.co/TIMID2pyjn",0,1,0,49443546,MOGOMAN | ECDQEMSD,MOGOMANIA,2009-06-21 16:02:22,False,185,446,2019-07-02 09:44:10,2019,07,02,09,44,3,Coyoacán,-99.2004857,19.3539464
1145690467000037376,tránsito,"#accidente 
Patrulla de la policía de Tránsito capitalina se estampa contra uno de los muros del puente vehicular República Federal Norte ubicado sobre Calzada Ignacio Zaragoza en #Iztapalapa, mueren 2 oficiales https://t.co/E14cjiW5Cq",2,1,1,710244864403738625,Voz Pópuli,Vozpopulimx,2016-03-16 17:22:26,False,217,53,2019-07-01 07:47:47,2019,07,01,07,47,3,Coyoacán,-99.140238,19.2846922
1156216114667503621,tránsito,@ceciperegrina ¿Me das permiso de opinar? ¿O ese privilegio solo es para los ciclistas que andan sobre las banquetas o en medio de una calle de un carril creando tráfico o circulando en contrario o pasando los altos sin precaución?  ¿Cuáles condiciones cumples?¿ todas?,0,1,0,109578156,Ing. Carlos Nolasco,carlos_nolasco,2010-01-29 08:50:49,False,563,503,2019-07-30 08:52:57,2019,07,30,08,52,4,Cuajimalpa de Morelos,-99.1919955,19.357102
