pubID,topicQuery,typeQuery,tweet,tokens,hashtags,mentions,likeCount,replyCount,retweetCount,authorID,authorName,authorUsername,authorCreatedAt,authorVerified,followersCount,followingCount,pubDate,pubYear,pubMonth,pubDay,pubHour,pubMinute,geoID,geoName,longitude,latitude
1466166868583010315,tránsito,palabras clave,@UCS_GCDMX @Alc_Iztapalapa Se pidió apoyo el miércoles pasado a tránsito y nunca llegaron para el apoyo cómo podría hacer la denuncia ya que nunca llegan con el apoyo,"['pedir', 'apoyo', 'miércoles', 'pasado', 'tránsito', 'nunca', 'llegar', 'apoyo', 'cómo', 'poder', 'hacer', 'denuncia', 'nunca', 'llegar', 'apoyo']",[],"['UCS_GCDMX', 'Alc_Iztapalapa']",0,0,0,497515615,jesus,jesus56613779,2012-02-19 20:41:40,0,991,5001,2021-12-01 16:06:36,2021,12,01,16,06,7,Iztapalapa,-99.0567989642,19.3491663204
1466244969589530626,tránsito,coordenadas,"No señora, hay que conocer el reglamento de tránsito. Está prohibido rebasar por la derecha y a exceso de velocidad, sobre todo para motos. Mal que se dio a la fuga pero el conductor de la moto tuvo la culpa. https://t.co/oawMudMzSX","['señora', 'conocer', 'reglamento', 'tránsito', 'prohibido', 'rebasar', 'derecha', 'exceso', 'velocidad', 'moto', 'mal', 'dar', 'fuga', 'conductor', 'moto', 'culpa']",[],[],0,0,0,24352871,「 クレイジー・キャット😸 」,geo_wa,2009-03-14 04:08:49,0,3378,4340,2021-12-01 21:16:56,2021,12,01,21,16,16,Miguel Hidalgo,-99.1843501,19.3998346
1466445263225114634,tránsito,palabras clave,"@LupitaJuarezH @lopezobrador_ No manches lupita eso no es informe eso es lo mismo de la orilla mañanera 
Eso es adornarse con sombrero ajeno 
A mi hijo lo llevaron a fuerza con pase de lista en el zócalo trabaja en la Alcaldia Venustiano Carranza 
Causando más contaminación ambiental por tránsito","['manch', 'lupitar', 'informe', 'mismo', 'orilla', 'mañanero', 'adornar', 'sombrero', 'ajeno', 'hijo', 'llevar', 'fuerza', 'pase', 'lista', 'zócalo', 'trabajar', 'alcaldia', 'venustiano', 'carranza', 'causar', 'contaminación', 'ambiental', 'tránsito']",[],"['LupitaJuarezH', 'lopezobrador_']",0,0,0,1329024310124548096,TORIBIO,Hctor57416349,2020-11-18 05:33:13,0,4,56,2021-12-02 10:32:50,2021,12,02,10,32,17,Venustiano Carranza,-99.0931057959,19.4304954545
1466550369194893312,tránsito,palabras clave,"@Soy_Adrian_MTY @C5_CDMX @Claudiashein @OHarfuch @ClaraBrugadaM @OVIALCDMX @GobNeza @A_QuinteroMX @Alc_Iztapalapa @IztacalcoAl @LaSEMOVI Acude al lugar Policía de #TránsitoGCDMX Se implementa dispositivo de recuperación de espacio para inhibir el estacionamiento prohibido en el lugar, así mismo se concientiza a la ciudadanía a no infringir el Reglamento de Tránsito de la Ciudad de México. https://t.co/0xub36jw2E","['acudir', 'lugar', 'policía', 'implementar', 'dispositivo', 'recuperación', 'espacio', 'inhibir', 'estacionamiento', 'prohibido', 'lugar', 'así', 'mismo', 'concientizar', 'ciudadanía', 'infringir', 'reglamento', 'tránsito', 'ciudad', 'méxico']",['TránsitoGCDMX'],"['Soy_Adrian_MTY', 'C5_CDMX', 'Claudiashein', 'OHarfuch', 'ClaraBrugadaM', 'OVIALCDMX', 'GobNeza', 'A_QuinteroMX', 'Alc_Iztapalapa', 'IztacalcoAl', 'LaSEMOVI']",2,0,0,172346252,Unidad de Contacto del Secretario SSC CDMX,UCS_GCDMX,2010-07-29 07:52:54,1,669213,86,2021-12-02 17:30:29,2021,12,02,17,30,7,Iztapalapa,-99.0567989642,19.3491663204
1466574720585789442,incendio,palabras clave,"19:06 #PrecauciónVial | Servicios de emergencia se dirigen hacia Álvaro Obregón y Frontera, col. Roma @AlcCuauhtemocMx, por incendio. Maneje con precaución, ceda el paso. https://t.co/kMS6wuS0Qk","['19', '06', 'servicio', 'emergencia', 'dirigir', 'hacia', 'alvaro', 'obregon', 'frontera', 'col', 'roma', 'incendio', 'maneje', 'precaución', 'ceda', 'paso']",['PrecauciónVial'],['AlcCuauhtemocMx'],5,0,3,166594238,OVIAL_SSCCDMX,OVIALCDMX,2010-07-14 09:00:43,1,1935870,133,2021-12-02 19:07:15,2021,12,02,19,07,10,Álvaro Obregón,-99.246819712,19.336175562
1466580103241125888,incendio,palabras clave,"19:28 #PrecauciónVial | Servicios de emergencia laboran en Álvaro Obregón a la altura de Frontera, col. Roma @AlcCuauhtemocMx al Poniente, por incendio. Maneje con precaución, no se distraiga al paso. https://t.co/9dUkDr1k29","['19', '28', 'servicio', 'emergencia', 'laborar', 'alvaro', 'obregon', 'altura', 'frontera', 'col', 'roma', 'poniente', 'incendio', 'maneje', 'precaución', 'distraiga', 'paso']",['PrecauciónVial'],['AlcCuauhtemocMx'],2,0,0,166594238,OVIAL_SSCCDMX,OVIALCDMX,2010-07-14 09:00:43,1,1935870,133,2021-12-02 19:28:39,2021,12,02,19,28,10,Álvaro Obregón,-99.246819712,19.336175562
1466594970882568195,pirotecnia,coordenadas,Me acusan de hater pero me encantan los fuegos artificiales.,"['acusar', 'hacer', 'encantar', 'fuego', 'artificial']",[],[],5,2,0,34549119,JoЯge🔪,joeytijuana,2009-04-23 00:02:02,0,1438,1271,2021-12-02 20:27:43,2021,12,02,20,27,16,Miguel Hidalgo,-99.1843501,19.3998346
1466656530359484420,incendio,palabras clave,"@C5_CDMX La verdad es que no se, yo vivo en la calle Genovevo Rivas en San Felipe de Jesús Gustavo A. Madero, y desde mi zotea veo el fuego alto. https://t.co/Qm1tpabDyu","['verdad', 'vivir', 'calle', 'genovesa', 'rivas', 'san', 'felipe', 'jesus', 'gustavo', 'madero', 'azotea', 'ver', 'fuego', 'alto']",[],['C5_CDMX'],0,1,0,128250778,Móni ♥,monirococo,2010-03-31 09:32:01,0,163,489,2021-12-03 00:32:20,2021,12,03,00,32,5,Gustavo A. Madero,-99.1158642087,19.5040652077
1466671047177121797,tránsito,coordenadas,"Hola @C5_CDMX hay mucho tráfico vehicular, claxones y ruido de gente alterada en periférico a la altura de av. Horacio.

Que sucede?

CC @UCS_GCDMX
@BlindarMH","['hola', 'tráfico', 'vehicular', 'cañón', 'ruido', 'gente', 'alterado', 'periférico', 'altura', 'av', 'horacio', 'suceder', 'cc']",[],"['C5_CDMX', 'UCS_GCDMX', 'BlindarMH']",0,1,2,930195600108326912,Vecino de Polanco,twpolanco,2017-11-13 16:08:08,0,748,3041,2021-12-03 01:30:01,2021,12,03,01,30,15,Cuauhtémoc,-99.259495,19.3863707
1466816036980891656,tránsito,coordenadas,Enviar apoyo de Patrulla de tránsito derivado de un choque a las 8:30am Estamos en Gabriel Mancera frnt al # 948 esq eje 6 sur angel urraza Del valle cntr @BJAlcaldia @GobCDMX @UCS_GCDMX @OVIALCDMX @C5_CDMX  @SSC_CDMX @TransitoCdMx @Uber_MEX pasada de alto de chófer que no acepta https://t.co/lIAJjIXoz4,"['enviar', 'apoyo', 'patrulla', 'tránsito', 'derivado', 'choque', '30am', 'gabriel', 'mancera', 'font', '948', 'esq', 'eje', 'sur', 'angel', 'urraca', 'valle', 'contr', 'pasado', 'alto', 'chófer', 'aceptar']",[],"['BJAlcaldia', 'GobCDMX', 'UCS_GCDMX', 'OVIALCDMX', 'C5_CDMX', 'SSC_CDMX', 'TransitoCdMx', 'Uber_MEX']",1,3,1,1319791402444705792,Rubən,Ruben28937471,2020-10-23 18:03:02,0,3,80,2021-12-03 11:06:09,2021,12,03,11,06,10,Álvaro Obregón,-99.1919955,19.357102
